Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
100,,147.315000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Rogersville,,,,
101,W4KEV,146.895000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,Dandridge,,,,
102,W4KEV,145.410000,-,0.600000,Tone,127.3,127.3,023,NN,FM,5.00,,"Greeneville, Bald Mtn",,,,
103,KE4KQI,147.240000,+,0.600000,Tone,114.8,114.8,023,NN,FM,5.00,,Sneedville,,,,
104,K4HXD,144.940000,split,147.440000,,88.5,88.5,023,NN,DV,5.00,,Knoxville,CQCQCQ,,,0
105,W4GZX,146.925000,-,0.600000,Tone,114.8,88.5,023,NN,Auto,5.00,,"Cleveland, CARC Clubhouse",,,,
106,KQ4E,145.450000,-,0.600000,Tone,141.3,141.3,023,NN,Auto,5.00,,Morristown,,,,
107,N4AW,146.790000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,"Pickens, Sassafrass Mountain",,,,
108,K4AIH,147.045000,-,0.600000,Tone,151.4,151.4,023,NN,FM,5.00,,"Andrews, Joanna Mtn",,,,
109,K2BHQ,145.490000,-,0.600000,Tone,167.9,88.5,023,NN,FM,5.00,,"Franklin, Cowee Bald",,,,
110,W4GHZ,147.240000,+,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,Franklin,,,,
111,N2GE,146.760000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,"Canton, Mount Pisgah",,,,
112,N4GSM,145.110000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,Robbinsville,,,,
113,KF4DTL,147.345000,+,0.600000,Tone,151.4,151.4,023,NN,FM,5.00,,"Sylva, Kings Mountain",,,,
114,N4DTR,147.390000,+,0.600000,Tone,94.8,88.5,023,NN,DIG,5.00,,"Waynesville, Chambers Mountain",,,,
115,KG4LHC,147.090000,+,0.600000,Tone,203.5,88.5,023,NN,FM,5.00,,Newport,,,,
116,WB4GBI,145.470000,-,0.600000,Tone,118.8,88.5,023,NN,FM,5.00,,"Knoxville, Cross Mountain",,,,
117,N4FV,147.060000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,Greeneville,,,,
118,K4MFD,145.150000,-,0.600000,Tone,118.8,118.8,023,NN,FM,5.00,,"Greeneville, Viking Mountain",,,,
119,WM4RB,145.310000,-,0.600000,Tone,141.3,141.3,023,NN,Auto,5.00,,Georgetown,,,,
120,W4KEV,147.345000,+,0.600000,Tone,118.8,118.8,023,NN,FM,5.00,,Crossville,,,,
121,KD4NEC,147.105000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Cleveland,,,,
122,KK4KCQ,147.105000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,Harlan,,,,
123,KA4OAK,146.775000,-,0.600000,Tone,79.7,88.5,023,NN,FM,5.00,,Middlesboro,,,,
124,AC4DM,145.150000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,Monticello,,,,
125,WB9SHH,146.995000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,Monticello,,,,
126,W4GZX,147.180000,+,0.600000,Tone,118.8,118.8,023,NN,FM,5.00,,"Benton, Chilhowee  Mountain",,,,
127,KK4BXE,145.480000,-,0.600000,,88.5,88.5,023,NN,DV,5.00,,Cleveland,CQCQCQ,,,0
128,AJ4G,145.300000,-,0.600000,,88.5,88.5,023,NN,DV,5.00,,Middlesboro,CQCQCQ,,,0
129,W2IQ,147.030000,+,0.600000,Tone,156.7,156.7,023,NN,Auto,5.00,,"Bean Station, Clinch Mtn",,,,
130,KQ4E,147.390000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Morristown,,,,
